condition,cut_depth,method,records,scored_tokens,token_accuracy,token_accuracy_ci_low,token_accuracy_ci_high,exact_sequence_match_rate,top16_recall,conditional_selection_accuracy,mean_seconds_per_record
matched_public,0,direct_inverse,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.004710301203118661
matched_public,0,causal_public_surrogate_search,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.005678216421870275
matched_public,4,direct_inverse,64,2496,0.641426282051282,0.611778846153846,0.6694711538461537,0.0,0.8501602564102564,0.7544769085768144,0.0032662020624911747
matched_public,4,causal_public_surrogate_search,64,2496,0.8369391025641025,0.8120993589743589,0.8605769230769231,0.0,0.8501602564102564,0.9844486333647502,0.03285948970312802
matched_public,8,direct_inverse,64,2496,0.49198717948717946,0.4639423076923077,0.5196314102564102,0.0,0.7419871794871795,0.6630669546436285,0.003359501375001628
matched_public,8,causal_public_surrogate_search,64,2496,0.6887019230769231,0.6554487179487181,0.7211538461538461,0.0,0.7419871794871795,0.9281857451403888,0.05292601232810057
unavailable_target_lora,0,direct_inverse,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.003547845468744981
unavailable_target_lora,0,causal_public_surrogate_search,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.004135403781248215
unavailable_target_lora,4,direct_inverse,64,2496,0.6494391025641025,0.6197916666666667,0.6782852564102564,0.0,0.8645833333333334,0.7511584800741428,0.004002400093753522
unavailable_target_lora,4,causal_public_surrogate_search,64,2496,0.8581730769230769,0.8349358974358975,0.8802083333333333,0.03125,0.8645833333333334,0.9925857275254866,0.03481233751563195
unavailable_target_lora,8,direct_inverse,64,2496,0.49198717948717946,0.46434294871794873,0.5192307692307692,0.0,0.7359775641025641,0.668481219379423,0.003693749078138353
unavailable_target_lora,8,causal_public_surrogate_search,64,2496,0.6830929487179487,0.6498397435897436,0.7155448717948718,0.0,0.7359775641025641,0.9281437125748503,0.05583600610938788
