target_bundle,scope_type,scope,method,records,scored_tokens,correct_tokens,token_accuracy,exact_records,exact_record_rate,tie_positions,projected_correct_tokens,a1_correct_tokens,token_delta,projected_accuracy,a1_accuracy,gain_tokens,regression_tokens,both_correct_tokens,both_wrong_tokens,equal_tokens
primary,overall,overall,raw_boundary.cosine,24,1482,498,0.3360323886639676,0,0.0,0,,,,,,,,,,
primary,length,16,raw_boundary.cosine,6,96,31,0.3229166666666667,0,0.0,0,,,,,,,,,,
primary,length,39,raw_boundary.cosine,6,234,78,0.3333333333333333,0,0.0,0,,,,,,,,,,
primary,length,64,raw_boundary.cosine,6,384,115,0.2994791666666667,0,0.0,0,,,,,,,,,,
primary,length,128,raw_boundary.cosine,6,768,274,0.3567708333333333,0,0.0,0,,,,,,,,,,
primary,position_bin,1-16,raw_boundary.cosine,24,384,120,0.3125,,,0,,,,,,,,,,
primary,position_bin,17-32,raw_boundary.cosine,24,288,97,0.3368055555555556,,,0,,,,,,,,,,
primary,position_bin,33-64,raw_boundary.cosine,24,426,147,0.34507042253521125,,,0,,,,,,,,,,
primary,position_bin,65-96,raw_boundary.cosine,24,192,58,0.3020833333333333,,,0,,,,,,,,,,
primary,position_bin,97-128,raw_boundary.cosine,24,192,76,0.3958333333333333,,,0,,,,,,,,,,
primary,position,1,raw_boundary.cosine,24,24,24,1.0,,,0,,,,,,,,,,
primary,position,2,raw_boundary.cosine,24,24,0,0.0,,,0,,,,,,,,,,
primary,position,3,raw_boundary.cosine,24,24,6,0.25,,,0,,,,,,,,,,
primary,position,4,raw_boundary.cosine,24,24,9,0.375,,,0,,,,,,,,,,
primary,position,5,raw_boundary.cosine,24,24,5,0.20833333333333334,,,0,,,,,,,,,,
primary,position,6,raw_boundary.cosine,24,24,4,0.16666666666666666,,,0,,,,,,,,,,
primary,position,7,raw_boundary.cosine,24,24,5,0.20833333333333334,,,0,,,,,,,,,,
primary,position,8,raw_boundary.cosine,24,24,4,0.16666666666666666,,,0,,,,,,,,,,
primary,position,9,raw_boundary.cosine,24,24,7,0.2916666666666667,,,0,,,,,,,,,,
primary,position,10,raw_boundary.cosine,24,24,8,0.3333333333333333,,,0,,,,,,,,,,
primary,position,11,raw_boundary.cosine,24,24,6,0.25,,,0,,,,,,,,,,
primary,position,12,raw_boundary.cosine,24,24,5,0.20833333333333334,,,0,,,,,,,,,,
primary,position,13,raw_boundary.cosine,24,24,10,0.4166666666666667,,,0,,,,,,,,,,
primary,position,14,raw_boundary.cosine,24,24,6,0.25,,,0,,,,,,,,,,
primary,position,15,raw_boundary.cosine,24,24,10,0.4166666666666667,,,0,,,,,,,,,,
primary,position,16,raw_boundary.cosine,24,24,11,0.4583333333333333,,,0,,,,,,,,,,
primary,position,17,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,18,raw_boundary.cosine,24,18,4,0.2222222222222222,,,0,,,,,,,,,,
primary,position,19,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,20,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,21,raw_boundary.cosine,24,18,8,0.4444444444444444,,,0,,,,,,,,,,
primary,position,22,raw_boundary.cosine,24,18,3,0.16666666666666666,,,0,,,,,,,,,,
primary,position,23,raw_boundary.cosine,24,18,9,0.5,,,0,,,,,,,,,,
primary,position,24,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,25,raw_boundary.cosine,24,18,8,0.4444444444444444,,,0,,,,,,,,,,
primary,position,26,raw_boundary.cosine,24,18,4,0.2222222222222222,,,0,,,,,,,,,,
primary,position,27,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,28,raw_boundary.cosine,24,18,5,0.2777777777777778,,,0,,,,,,,,,,
primary,position,29,raw_boundary.cosine,24,18,11,0.6111111111111112,,,0,,,,,,,,,,
primary,position,30,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,31,raw_boundary.cosine,24,18,6,0.3333333333333333,,,0,,,,,,,,,,
primary,position,32,raw_boundary.cosine,24,18,3,0.16666666666666666,,,0,,,,,,,,,,
primary,position,33,raw_boundary.cosine,24,18,8,0.4444444444444444,,,0,,,,,,,,,,
primary,position,34,raw_boundary.cosine,24,18,8,0.4444444444444444,,,0,,,,,,,,,,
primary,position,35,raw_boundary.cosine,24,18,5,0.2777777777777778,,,0,,,,,,,,,,
primary,position,36,raw_boundary.cosine,24,18,5,0.2777777777777778,,,0,,,,,,,,,,
primary,position,37,raw_boundary.cosine,24,18,4,0.2222222222222222,,,0,,,,,,,,,,
primary,position,38,raw_boundary.cosine,24,18,7,0.3888888888888889,,,0,,,,,,,,,,
primary,position,39,raw_boundary.cosine,24,18,5,0.2777777777777778,,,0,,,,,,,,,,
primary,position,40,raw_boundary.cosine,24,12,3,0.25,,,0,,,,,,,,,,
primary,position,41,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,42,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,43,raw_boundary.cosine,24,12,3,0.25,,,0,,,,,,,,,,
primary,position,44,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,45,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,46,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,47,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,48,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,49,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,50,raw_boundary.cosine,24,12,2,0.16666666666666666,,,0,,,,,,,,,,
primary,position,51,raw_boundary.cosine,24,12,6,0.5,,,0,,,,,,,,,,
primary,position,52,raw_boundary.cosine,24,12,7,0.5833333333333334,,,0,,,,,,,,,,
primary,position,53,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,54,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,55,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,56,raw_boundary.cosine,24,12,5,0.4166666666666667,,,0,,,,,,,,,,
primary,position,57,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,58,raw_boundary.cosine,24,12,6,0.5,,,0,,,,,,,,,,
primary,position,59,raw_boundary.cosine,24,12,2,0.16666666666666666,,,0,,,,,,,,,,
primary,position,60,raw_boundary.cosine,24,12,4,0.3333333333333333,,,0,,,,,,,,,,
primary,position,61,raw_boundary.cosine,24,12,2,0.16666666666666666,,,0,,,,,,,,,,
primary,position,62,raw_boundary.cosine,24,12,6,0.5,,,0,,,,,,,,,,
primary,position,63,raw_boundary.cosine,24,12,2,0.16666666666666666,,,0,,,,,,,,,,
primary,position,64,raw_boundary.cosine,24,12,3,0.25,,,0,,,,,,,,,,
primary,position,65,raw_boundary.cosine,24,6,3,0.5,,,0,,,,,,,,,,
primary,position,66,raw_boundary.cosine,24,6,0,0.0,,,0,,,,,,,,,,
primary,position,67,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,68,raw_boundary.cosine,24,6,1,0.16666666666666666,,,0,,,,,,,,,,
primary,position,69,raw_boundary.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
primary,position,70,raw_boundary.cosine,24,6,1,0.16666666666666666,,,0,,,,,,,,,,
primary,position,71,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,72,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,73,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,74,raw_boundary.cosine,24,6,3,0.5,,,0,,,,,,,,,,
primary,position,75,raw_boundary.cosine,24,6,1,0.16666666666666666,,,0,,,,,,,,,,
primary,position,76,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,77,raw_boundary.cosine,24,6,1,0.16666666666666666,,,0,,,,,,,,,,
primary,position,78,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,79,raw_boundary.cosine,24,6,1,0.16666666666666666,,,0,,,,,,,,,,
primary,position,80,raw_boundary.cosine,24,6,2,0.3333333333333333,,,0,,,,,,,,,,
primary,position,81,raw_boundary.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
