domain,stage,method,k,records,scored_tokens,included_tokens,omitted_tokens,recall,recall_ci_low,recall_ci_high,complete_clips,clip_coverage,clip_ci_low,clip_ci_high,top1_wrong_tokens,rescued_top1_wrong_tokens,recall_among_top1_wrong
finance,0,a1,1,32,4064,3762,302,0.9256889763779528,0.8944389763779528,0.9525098425196851,0,0.0,0.0,0.0,302,0,0.0
finance,0,a1,8,32,4064,3958,106,0.9739173228346457,0.9562007874015748,0.9879429133858268,13,0.40625,0.25,0.5625,302,196,0.6490066225165563
finance,0,a1,16,32,4064,3999,65,0.9840059055118111,0.9721948818897639,0.9928641732283465,15,0.46875,0.3125,0.65625,302,237,0.7847682119205298
finance,0,a1,32,32,4064,4023,41,0.9899114173228347,0.9800688976377954,0.9970472440944882,21,0.65625,0.5,0.8125,302,261,0.8642384105960265
finance,0,a1,64,32,4064,4047,17,0.9958169291338583,0.9906496062992126,0.999261811023622,27,0.84375,0.71875,0.96875,302,285,0.9437086092715232
finance,0,a1,256,32,4064,4061,3,0.999261811023622,0.9977854330708662,1.0,31,0.96875,0.90625,1.0,302,299,0.9900662251655629
finance,0,b1,1,32,4064,4058,6,0.9985236220472441,0.9958169291338583,1.0,30,0.9375,0.84375,1.0,6,0,0.0
finance,0,b1,8,32,4064,4063,1,0.9997539370078741,0.999261811023622,1.0,31,0.96875,0.90625,1.0,6,5,0.8333333333333334
finance,0,b1,16,32,4064,4064,0,1.0,1.0,1.0,32,1.0,1.0,1.0,6,6,1.0
finance,0,b1,32,32,4064,4064,0,1.0,1.0,1.0,32,1.0,1.0,1.0,6,6,1.0
finance,0,b1,64,32,4064,4064,0,1.0,1.0,1.0,32,1.0,1.0,1.0,6,6,1.0
finance,0,b1,256,32,4064,4064,0,1.0,1.0,1.0,32,1.0,1.0,1.0,6,6,1.0
finance,64,a1,1,32,4064,3811,253,0.9377460629921259,0.9089566929133859,0.9625984251968505,5,0.15625,0.03125,0.28125,253,0,0.0
finance,64,a1,8,32,4064,3958,106,0.9739173228346457,0.9569389763779528,0.9874507874015748,13,0.40625,0.25,0.5625,253,147,0.5810276679841897
finance,64,a1,16,32,4064,3995,69,0.9830216535433072,0.9697342519685039,0.9926181102362205,15,0.46875,0.3125,0.65625,253,184,0.7272727272727273
finance,64,a1,32,32,4064,4026,38,0.9906496062992126,0.9825295275590551,0.9968011811023623,22,0.6875,0.53125,0.84375,253,215,0.849802371541502
finance,64,a1,64,32,4064,4043,21,0.9948326771653544,0.9879429133858268,0.9990157480314961,25,0.78125,0.625,0.90625,253,232,0.9169960474308301
finance,64,a1,256,32,4064,4062,2,0.999507874015748,0.9985236220472441,1.0,31,0.96875,0.90625,1.0,253,251,0.9920948616600791
