domain,stage,method,scored_tokens,correct_tokens,exact_clips,decoded_token_text_exact_clips,shortlist_omissions,wrong_despite_inclusion,wrong_with_omission,wrong_after_earlier_wrong_commitment,included_but_wrong_after_earlier_wrong,omitted_and_wrong_after_earlier_wrong,included_but_wrong_before_any_wrong,omitted_and_wrong_before_any_wrong,correct_after_earlier_wrong,warmed_total_seconds
pile,0,a1_k256,4064,4059,28,28,5,0,5,1,0,1,0,4,229,31.96072056000412
pile,0,b1_k256,4064,4064,32,32,0,0,0,0,0,0,0,0,0,31.983236130981822
pile,0,b1_k16,4064,4064,32,32,0,0,0,0,0,0,0,0,0,26.593593521989533
pile,0,a1_k16,4064,4016,12,12,46,2,46,28,2,26,0,20,1669,26.462655434035696
pile,0,b1_alone,4064,4047,23,23,17,0,17,8,0,8,0,9,612,0.1643934060120955
pile,64,a1_k256,4064,4063,31,31,1,0,1,0,0,0,0,1,29,32.137337886029854
pile,64,b1_k256,4064,4064,32,32,0,0,0,0,0,0,0,0,0,32.188866805969155
pile,64,b1_k16,4064,4064,32,32,0,0,0,0,0,0,0,0,0,26.738090272046975
pile,64,a1_k16,4064,4021,14,14,41,2,41,25,2,23,0,18,1496,26.65213152600336
pile,64,b1_alone,4064,4049,23,23,15,0,15,6,0,6,0,9,603,0.1651436179963639
pile,128,a1_k256,4064,4063,31,31,1,0,1,0,0,0,0,1,29,32.119377493989305
pile,128,b1_k256,4064,4064,32,32,0,0,0,0,0,0,0,0,0,32.2235359440092
pile,128,b1_k16,4064,4064,32,32,0,0,0,0,0,0,0,0,0,26.787777794044814
pile,128,a1_k16,4064,4021,15,15,41,2,41,26,2,24,0,17,1408,26.67138979199808
pile,128,b1_alone,4064,4048,23,23,16,0,16,7,0,7,0,9,604,0.162619514943799
pile,256,a1_k256,4064,4063,31,31,1,0,1,0,0,0,0,1,29,32.39605761808343
pile,256,b1_k256,4064,4064,32,32,0,0,0,0,0,0,0,0,0,32.353107052040286
pile,256,b1_k16,4064,4064,32,32,0,0,0,0,0,0,0,0,0,26.964103520993376
pile,256,a1_k16,4064,4016,13,13,48,0,48,29,0,29,0,19,1547,26.888070441942546
pile,256,b1_alone,4064,4050,24,24,14,0,14,6,0,6,0,8,557,0.16360276202613022
finance,0,a1_k256,4064,4064,32,32,0,0,0,0,0,0,0,0,0,32.52755373205582
finance,0,b1_k256,4064,4064,32,32,0,0,0,0,0,0,0,0,0,32.544243230935535
finance,0,b1_k16,4064,4064,32,32,0,0,0,0,0,0,0,0,0,27.50872085802257
finance,0,a1_k16,4064,4007,17,17,56,1,56,42,1,41,0,15,1154,27.2784931579954
finance,0,b1_alone,4064,4060,28,28,4,0,4,0,0,0,0,4,321,0.16417368096881546
finance,64,a1_k256,4064,4042,11,11,0,22,0,1,1,0,21,0,601,32.46233715800918
finance,64,b1_k256,4064,4042,11,11,0,22,0,1,1,0,21,0,601,32.612162695018924
finance,64,b1_k16,4064,4041,11,11,0,23,0,2,2,0,21,0,600,27.475776534018223
finance,64,a1_k16,4064,3992,7,7,46,26,46,47,15,32,11,14,1335,27.460460023052292
finance,64,b1_alone,4064,4060,28,28,4,0,4,0,0,0,0,4,321,0.16948045692697633
finance,128,a1_k256,4064,4052,20,20,0,12,0,0,0,0,12,0,337,39.850609092012746
finance,128,b1_k256,4064,4052,20,20,0,12,0,0,0,0,12,0,337,39.60797602303501
finance,128,b1_k16,4064,4053,21,21,0,11,0,0,0,0,11,0,277,32.801117230948876
finance,128,a1_k16,4064,4000,10,10,49,15,49,42,7,35,8,14,1204,32.048731269009295
finance,128,b1_alone,4064,4059,28,28,5,0,5,1,0,1,0,4,320,0.20160746399778873
finance,256,a1_k256,4064,4027,0,0,0,37,0,5,5,0,32,0,3131,38.33028994196502
finance,256,b1_k256,4064,4027,0,0,0,37,0,5,5,0,32,0,3131,38.619081512020784
finance,256,b1_k16,4064,4061,29,29,0,3,0,0,0,0,3,0,30,31.62929626496043
finance,256,a1_k16,4064,3980,0,0,48,36,48,52,4,48,32,0,3084,31.372324468000443
finance,256,b1_alone,4064,4059,27,27,5,0,5,0,0,0,0,5,394,0.19792633698671125
